lag,mean_abs_shap,direcao_shap,corr_lag_vs_shap,coef_linear,direcao_linear,divergencia_de_sinal
1,396.4687194824219,positiva,0.6495719203601228,0.3903890480849292,positiva,False
2,207.0341796875,negativa,-0.22194716474768292,-0.10298899774086959,negativa,False
3,146.47271728515625,negativa,-0.8215505877483916,-0.15492819430398536,negativa,False
12,122.86354064941406,positiva,0.5907858842656767,0.31188498649691726,positiva,False
