model,horizon,smape,ci_low,ci_high,mae,n_windows
timesfm,1,4.296678968760849,3.569880482786802,5.100995090630272,321.5026073270631,103
timesfm,2,4.620754185904171,3.8177543132741842,5.4869874855427705,349.3887335027306,103
timesfm,3,4.899821251563227,4.0295232266114525,5.866027621158338,371.39556469963594,103
timesfm,4,5.107384632749782,4.233922230150534,6.029195587628024,387.97750587833735,103
timesfm,5,4.972939776004499,4.1059518687283285,5.954777862043106,378.3106843522451,103
timesfm,6,5.097546632129389,4.178672978882949,6.123808533396425,387.65826001213594,103
sarima,1,4.162529167788267,3.426736001879217,4.938464321954752,313.3307274306492,103
sarima,2,4.697063442227133,3.862233125064261,5.594035278995184,357.2234421325057,103
sarima,3,4.765217071363645,3.900749721087908,5.700385246839954,360.7689655525506,103
sarima,4,4.809589736485122,3.955710851428529,5.763015793168527,362.3871461989306,103
sarima,5,5.112938908033563,4.2478738423948075,6.045943366107385,388.152646821423,103
sarima,6,5.226574590927826,4.349655576718348,6.1752479585747135,397.68058107196595,103
prophet,1,4.353822326002595,3.495565847772042,5.29618716066492,326.6498983634549,103
prophet,2,4.451976140108256,3.5771230946645445,5.403071985549302,335.4451225603142,103
prophet,3,4.645585470122514,3.782319938623148,5.599297776043958,350.81438110546736,103
prophet,4,4.820899276822309,3.941304002784735,5.792607695225137,364.81681477581606,103
prophet,5,4.929367570997466,4.056831544071467,5.8747594803129735,373.9627404387097,103
prophet,6,5.004142021008075,4.115483972399446,5.9667428596352545,379.3425062996364,103
xgboost,1,6.022708412843231,5.105854821401146,6.991835588644117,450.92615101638347,103
xgboost,2,6.741927827342047,5.664204606661865,7.911554234492576,509.65485152457524,103
xgboost,3,7.160615151356953,6.029604011098008,8.32984332557267,543.9932351714199,103
xgboost,4,7.3218688890252235,6.196795992177531,8.56770257005292,557.1112807190534,103
xgboost,5,7.142224990559372,5.987792917032974,8.379416597787035,545.5905169144418,103
xgboost,6,7.22081608324373,6.078717692218608,8.473112374237632,552.1769616580704,103
catboost,1,5.715388805327329,4.84897219080698,6.607150333866222,428.2898469019102,103
catboost,2,6.380121454881014,5.328700210013049,7.508255139279665,483.67897494416025,103
catboost,3,6.755984732516175,5.666619819475409,7.920618230519262,514.1128635193031,103
catboost,4,6.907877705047796,5.843363360339676,8.046742174686324,526.7377379821274,103
catboost,5,6.8021597086393335,5.724082511287735,7.940777868435408,520.3037215754904,103
catboost,6,6.974425789028904,5.845334110437404,8.148272367046369,532.2666511371799,103
