model,metric,point,ci_low,ci_high,ci_width,n_windows,n_predictions,B
timesfm,smape,7.299639032380585,6.378523133326766,8.341399276458763,1.9628761431319965,31,186,10000
timesfm,mae,586.0230279737904,513.5015645345052,667.5054076492145,154.0038431147093,31,186,10000
sarima,smape,7.453976618383074,6.202245408340604,8.921616643955945,2.719371235615341,31,186,10000
sarima,mae,603.505906636588,504.6433692315863,722.822951485742,218.17958225415572,31,186,10000
prophet,smape,7.682285144519938,6.494806473377448,9.155275780162958,2.66046930678551,31,186,10000
prophet,mae,613.8045433185354,535.8373738394846,705.2076785200198,169.37030468053524,31,186,10000
