modelo,espec,sem_T,com_T,ganho
catboost,base,6.589326365902394,6.331192428105638,0.25813393779675664
catboost,diffcal,6.128316205810989,6.052699022280556,0.0756171835304329
xgboost,base,6.832390134959835,6.505241886726404,0.32714824823343047
xgboost,diffcal,6.349909887452304,6.385433949200621,-0.03552406174831724
