sample_size,model,mae,rmse,smape,n_predictions
1000,sarima,0.9034360966366732,2.955657562377413,3.763137820625096,99
5000,timesfm,0.8199715865285773,1.077242279394319,0.760909621161365,114
10000,sarima,1.0680087369061453,1.2768263759377734,0.5005444214914281,114
